3592980,crossing,toucan,regular
3592980,highway,crossing,regular
3592980,kerb,lowered,regular
3592980,tactile_paving,yes,regular
3592982,created_by,JOSM,regular
3592991,created_by,JOSM,regular
3592992,created_by,JOSM,regular
3592994,created_by,JOSM,regular
3592999,crossing,toucan,regular
3592999,highway,crossing,regular
3592999,kerb,lowered,regular
3592999,tactile_paving,yes,regular
3593007,created_by,JOSM,regular
3593008,created_by,JOSM,regular
3593040,highway,traffic_signals,regular
3593043,created_by,JOSM,regular
3593044,created_by,JOSM,regular
3593093,created_by,JOSM,regular
3593119,highway,traffic_signals,regular
3593119,source,Bing,regular
3593181,created_by,JOSM,regular
3593197,created_by,JOSM,regular
3593199,created_by,JOSM,regular
3593200,created_by,JOSM,regular
3593234,created_by,JOSM,regular
3593235,created_by,JOSM,regular
3835023,created_by,JOSM,regular
3835024,created_by,JOSM,regular
3835026,created_by,JOSM,regular
3835031,highway,give_way,regular
3835037,created_by,JOSM,regular
3835045,created_by,JOSM,regular
3835049,created_by,JOSM,regular
3835050,created_by,JOSM,regular
3835051,created_by,JOSM,regular
3835052,created_by,JOSM,regular
3835053,created_by,JOSM,regular
3835065,created_by,JOSM,regular
3835066,created_by,JOSM,regular
3835067,created_by,JOSM,regular
3835068,created_by,JOSM,regular
3835072,created_by,JOSM,regular
3835079,created_by,JOSM,regular
3835082,created_by,JOSM,regular
3835084,created_by,JOSM,regular
3835086,created_by,JOSM,regular
3835087,created_by,JOSM,regular
3835088,created_by,JOSM,regular
3835092,created_by,JOSM,regular
3835105,created_by,JOSM,regular
3835137,created_by,JOSM,regular
3835145,amenity,pub,regular
3835145,name,Ring o' Bells PH,regular
3835147,created_by,JOSM,regular
3835164,created_by,JOSM,regular
3872592,created_by,JOSM,regular
3872593,created_by,JOSM,regular
3872598,created_by,JOSM,regular
3872613,created_by,JOSM,regular
3872615,created_by,JOSM,regular
3872620,created_by,JOSM,regular
3872624,created_by,JOSM,regular
3872625,created_by,JOSM,regular
3872626,created_by,JOSM,regular
3872630,created_by,JOSM,regular
3872637,created_by,JOSM,regular
3872653,created_by,JOSM,regular
3872665,created_by,JOSM,regular
3872688,created_by,JOSM,regular
3872690,created_by,JOSM,regular
3872691,created_by,JOSM,regular
3872692,created_by,JOSM,regular
3872712,created_by,JOSM,regular
3872713,created_by,JOSM,regular
3872716,created_by,JOSM,regular
3872718,created_by,JOSM,regular
3872765,created_by,JOSM,regular
3872773,created_by,JOSM,regular
3872865,created_by,JOSM,regular
3872866,created_by,JOSM,regular
3872867,created_by,JOSM,regular
3872873,created_by,JOSM,regular
3872875,created_by,JOSM,regular
3872879,created_by,JOSM,regular
3872890,created_by,JOSM,regular
3872900,created_by,JOSM,regular
3872901,created_by,JOSM,regular
3872902,created_by,JOSM,regular
3872904,created_by,JOSM,regular
3872914,created_by,JOSM,regular
3872915,created_by,JOSM,regular
3872918,created_by,JOSM,regular
3872920,created_by,JOSM,regular
3872929,created_by,JOSM,regular
3872933,created_by,JOSM,regular
3872962,highway,street_lamp,regular
3872962,lamp_type,sodium,regular
4049386,created_by,JOSM,regular
4049393,direction,forward,regular
4049393,highway,give_way,regular
4049398,created_by,JOSM,regular
4049461,created_by,JOSM,regular
4049462,created_by,JOSM,regular
4049463,created_by,JOSM,regular
4049466,created_by,JOSM,regular
4049474,created_by,JOSM,regular
4049475,created_by,JOSM,regular
4049477,created_by,JOSM,regular
4049478,created_by,JOSM,regular
4049480,created_by,JOSM,regular
4049481,created_by,JOSM,regular
4049482,created_by,JOSM,regular
4049483,created_by,JOSM,regular
4049484,created_by,JOSM,regular
4049486,created_by,JOSM,regular
4049493,created_by,JOSM,regular
4049500,created_by,JOSM,regular
4049501,created_by,JOSM,regular
4049530,created_by,JOSM,regular
4049532,created_by,JOSM,regular
4049533,created_by,JOSM,regular
4049535,created_by,JOSM,regular
4049536,created_by,JOSM,regular
4049537,created_by,JOSM,regular
4049547,created_by,JOSM,regular
4049548,created_by,JOSM,regular
4049549,created_by,JOSM,regular
4049551,created_by,JOSM,regular
4049552,created_by,JOSM,regular
4049554,created_by,JOSM,regular
4049556,created_by,JOSM,regular
4049557,created_by,JOSM,regular
4049558,created_by,JOSM,regular
4049561,created_by,JOSM,regular
4049562,created_by,JOSM,regular
4049564,created_by,JOSM,regular
4049565,created_by,JOSM,regular
4049566,created_by,JOSM,regular
4049567,created_by,JOSM,regular
4049568,created_by,JOSM,regular
4049571,created_by,JOSM,regular
4049578,created_by,JOSM,regular
4049579,created_by,JOSM,regular
4049581,created_by,JOSM,regular
4049589,created_by,JOSM,regular
4049594,created_by,JOSM,regular
4049599,created_by,JOSM,regular
4049606,created_by,JOSM,regular
4049607,created_by,JOSM,regular
4049612,created_by,JOSM,regular
4049614,created_by,JOSM,regular
4049615,created_by,JOSM,regular
4049616,created_by,JOSM,regular
4049617,created_by,JOSM,regular
4210925,created_by,JOSM,regular
4210927,created_by,JOSM,regular
4210928,created_by,JOSM,regular
4210940,created_by,JOSM,regular
4210943,created_by,JOSM,regular
4210945,created_by,JOSM,regular
4210946,created_by,JOSM,regular
4210947,created_by,JOSM,regular
4210950,created_by,JOSM,regular
4210959,created_by,JOSM,regular
4210961,created_by,JOSM,regular
4210965,created_by,JOSM,regular
4210966,created_by,JOSM,regular
4210983,created_by,JOSM,regular
4210986,created_by,JOSM,regular
4210997,created_by,JOSM,regular
4211005,created_by,JOSM,regular
4211010,created_by,JOSM,regular
4453119,created_by,JOSM,regular
4453121,created_by,JOSM,regular
4453128,created_by,JOSM,regular
4453156,highway,traffic_signals,regular
4453163,created_by,JOSM,regular
4591230,created_by,JOSM,regular
4591274,created_by,JOSM,regular
4812144,created_by,JOSM,regular
4812158,created_by,JOSM,regular
4812160,created_by,JOSM,regular
4812170,created_by,JOSM,regular
4812198,created_by,JOSM,regular
4812199,created_by,JOSM,regular
4812201,created_by,JOSM,regular
4953601,created_by,JOSM,regular
4953603,created_by,JOSM,regular
4953604,created_by,JOSM,regular
4953605,created_by,JOSM,regular
4953607,created_by,JOSM,regular
4953608,created_by,JOSM,regular
4953610,barrier,cycle_barrier,regular
4953610,bicycle,yes,regular
4953610,foot,yes,regular
4953610,motor_vehicle,no,regular
4953610,name,chicane,regular
4953619,highway,turning_circle,regular
4953633,highway,turning_circle,regular
4953636,highway,turning_circle,regular
4953649,highway,turning_circle,regular
4953684,highway,turning_circle,regular
4953689,highway,turning_circle,regular
4953702,created_by,JOSM,regular
4953703,created_by,JOSM,regular
4953717,created_by,JOSM,regular
4953726,created_by,JOSM,regular
4953731,highway,turning_circle,regular
4953741,created_by,JOSM,regular
4953745,created_by,JOSM,regular
4953772,created_by,JOSM,regular
4953773,created_by,JOSM,regular
5239635,created_by,JOSM,regular
5239638,created_by,JOSM,regular
5239640,direction,clockwise,regular
5239640,highway,mini_roundabout,regular
5239641,created_by,JOSM,regular
5239642,direction,clockwise,regular
5239642,highway,mini_roundabout,regular
5431115,created_by,JOSM,regular
5431116,created_by,JOSM,regular
5431126,created_by,JOSM,regular
5431127,created_by,JOSM,regular
5431134,created_by,JOSM,regular
5431135,created_by,JOSM,regular
5431136,created_by,JOSM,regular
5431138,created_by,JOSM,regular
5431139,created_by,JOSM,regular
5431141,created_by,JOSM,regular
5431142,created_by,JOSM,regular
5431143,created_by,JOSM,regular
5431144,created_by,JOSM,regular
5431146,created_by,JOSM,regular
5431147,created_by,JOSM,regular
5431148,created_by,JOSM,regular
5431150,created_by,JOSM,regular
5431151,created_by,JOSM,regular
5431153,created_by,JOSM,regular
5431156,created_by,JOSM,regular
5431158,created_by,JOSM,regular
5431162,created_by,JOSM,regular
5431163,created_by,JOSM,regular
5431173,created_by,JOSM,regular
5431174,created_by,JOSM,regular
5431175,created_by,JOSM,regular
5431180,created_by,JOSM,regular
5431181,created_by,JOSM,regular
5431183,created_by,JOSM,regular
5431184,created_by,JOSM,regular
5431185,created_by,JOSM,regular
5431186,created_by,JOSM,regular
5431199,created_by,JOSM,regular
5431200,created_by,JOSM,regular
5431201,created_by,JOSM,regular
5431202,created_by,JOSM,regular
5431204,created_by,JOSM,regular
5431211,created_by,JOSM,regular
5431212,created_by,JOSM,regular
5431214,created_by,JOSM,regular
5431215,created_by,JOSM,regular
5431216,created_by,JOSM,regular
5431217,created_by,JOSM,regular
